persona,principle_a,principle_b,raw_r,partial_r,is_focal,partial_rank
bad_persona,respect-user-attention,be-transparent-and-honest,0.9691967851378136,0.6948689914668046,False,4.0
bad_persona,respect-user-attention,design-for-equity-and-inclusion,0.9430035725687054,0.06683676343275549,False,17.0
bad_persona,enable-meaningful-choices,enhance-human-capabilities,0.9759761734044767,0.7273684421441982,False,3.0
bad_persona,enable-meaningful-choices,protect-dignity-and-safety,0.9832278541131794,0.2094559479560066,False,13.0
bad_persona,enable-meaningful-choices,foster-healthy-relationships,0.9914954259348692,0.6650586503470131,False,6.0
bad_persona,enable-meaningful-choices,prioritize-long-term-wellbeing,0.9955247434690262,0.8536930487404786,True,2.0
bad_persona,enable-meaningful-choices,be-transparent-and-honest,0.9461811403322312,-0.3859583568349081,False,25.0
bad_persona,enable-meaningful-choices,design-for-equity-and-inclusion,0.9805912155119814,0.2576261315681414,False,12.0
bad_persona,enhance-human-capabilities,protect-dignity-and-safety,0.9434516532108408,-0.3047881696156706,False,23.0
bad_persona,enhance-human-capabilities,foster-healthy-relationships,0.9548136070322351,0.1573411972224963,False,16.0
bad_persona,enhance-human-capabilities,prioritize-long-term-wellbeing,0.9800629539906678,0.8750061379127451,False,1.0
bad_persona,enhance-human-capabilities,be-transparent-and-honest,0.8935696264906747,-0.746485425182315,False,27.0
bad_persona,enhance-human-capabilities,design-for-equity-and-inclusion,0.9690751174591221,0.5895797733367156,False,8.0
bad_persona,protect-dignity-and-safety,foster-healthy-relationships,0.9946830163464266,0.671557529448773,False,5.0
bad_persona,protect-dignity-and-safety,prioritize-long-term-wellbeing,0.9857320606242898,-0.11730377222975563,False,21.0
bad_persona,protect-dignity-and-safety,be-transparent-and-honest,0.9784643916651812,0.6444635755345682,False,7.0
bad_persona,protect-dignity-and-safety,design-for-equity-and-inclusion,0.9839950915793181,0.1847042578319727,False,14.0
bad_persona,foster-healthy-relationships,prioritize-long-term-wellbeing,0.9912591226714653,0.3538260669137846,False,10.0
bad_persona,foster-healthy-relationships,be-transparent-and-honest,0.9706531445736413,0.386396867852949,False,9.0
bad_persona,foster-healthy-relationships,design-for-equity-and-inclusion,0.981405522389054,-0.1022240819776976,False,20.0
bad_persona,prioritize-long-term-wellbeing,be-transparent-and-honest,0.9534606789513763,-0.5907384373925809,False,26.0
bad_persona,prioritize-long-term-wellbeing,design-for-equity-and-inclusion,0.9845207154699384,0.17889186630073498,False,15.0
bad_persona,be-transparent-and-honest,design-for-equity-and-inclusion,0.9573659881333719,0.01953948686986097,False,19.0
