model,config,family,s_baseline,s_bad,s_bad_ci_lower,s_bad_ci_upper,bad_delta_marginal,bad_delta_paired,bad_delta_paired_ci_lower,bad_delta_paired_ci_upper,status_rule,status_strict
claude-opus-4.1,gemini_only,anthropic,0.8180977949599084,0.7370223922902495,0.6944561011904761,0.7765433673469389,-0.08107540266965896,-0.08379230448818076,-0.13384653884202855,-0.030050404170571702,Robust,Robust
claude-sonnet-4,gemini_only,anthropic,0.794795918367347,0.6049605751391466,0.5557004386982065,0.6510889088589982,-0.1898353432282004,-0.1900689290867863,-0.2448728258348794,-0.13761012226860442,Moderate,Robust
claude-sonnet-4.5,gemini_only,anthropic,0.8827834467120181,0.8856122448979592,0.8586809098639456,0.9129900085034014,0.0028287981859410616,0.0028287981859410616,-0.037071570294784584,0.04022456065759637,Robust,Robust
deepseek-v3.1-terminus,gemini_only,independent,0.8731887755102041,-0.33238610595753454,-0.37821290391156465,-0.28506584338280766,-1.2055748814677387,-1.2043957577563984,-1.253620633539264,-1.1502860133724686,Failed,No
gemini-2.0-flash-001,gemini_only,google,0.8467247732426304,-0.8494118480725623,-0.8730554138321995,-0.8263289753401362,-1.6961366213151927,-1.6961366213151927,-1.7319931707057823,-1.658577757405045,Failed,No
gemini-2.5-flash,gemini_only,google,0.8322137188208617,-0.7936550453514739,-0.8183344316893424,-0.7660085388321995,-1.6258687641723357,-1.6219092096870769,-1.6584750023186114,-1.5822982362689393,Failed,No
gemini-2.5-pro,gemini_only,google,0.9012032312925169,-0.8197664141414142,-0.8488358585858586,-0.7925396148989898,-1.720969645433931,-1.7208938878581734,-1.7597146400226755,-1.6824604624046586,Failed,No
gemini-3-pro-preview,gemini_only,google,0.8980824829931973,-0.4523327664399093,-0.5141801658163265,-0.39221084892290253,-1.3504152494331065,-1.3504152494331065,-1.4167939696712017,-1.287776608560091,Failed,No
gpt-4.1,gemini_only,openai,0.8100751133786848,-0.689012411144233,-0.724577340346251,-0.6526031121015821,-1.4990875245229178,-1.4990329052969504,-1.5407326982056868,-1.451857418739968,Failed,No
gpt-4o-2024-11-20,gemini_only,openai,0.825188234384663,-0.7433078231292517,-0.7690040036848073,-0.7149429917800454,-1.5684960575139146,-1.569809188827046,-1.6052179544166152,-1.5288614493145745,Failed,No
gpt-5,gemini_only,openai,0.9484509637188208,0.9235615079365079,0.9004625496031745,0.9458038903061224,-0.02488945578231283,-0.02488945578231283,-0.054605265022675736,0.00235685941043083,Robust,Robust
gpt-5.1,gemini_only,openai,0.9408744331065759,0.8988407029478458,0.8722175968872398,0.922207099695939,-0.04203373015873013,-0.0416044372294373,-0.06506639739229024,-0.01888389958256031,Robust,Robust
grok-4,gemini_only,independent,0.7787429138321995,-0.8581574675324676,-0.8780065386002887,-0.8384977420892599,-1.6369003813646672,-1.636189622086492,-1.6685727071578549,-1.6011578730870966,Failed,No
llama-3.1-405b-instruct,gemini_only,independent,0.7094197072768502,-0.5334452947845805,-0.574416979102247,-0.49520333114306325,-1.2428650020614307,-1.2406896299189532,-1.2955491110419448,-1.1897074582424676,Failed,No
llama-4-maverick,gemini_only,independent,0.722326291263147,-0.10173675530818387,-0.15015145395279322,-0.053244707921047234,-0.8240630465713308,-0.8248201082994897,-0.8802969059148182,-0.7743016000859106,Failed,No
claude-opus-4.1,drop_claude,anthropic,0.7041269329896906,0.6813810941043085,0.6474665001417232,0.7159482001133788,-0.022745838885382175,-0.026192954024783832,-0.06631837544257004,0.015714124980474843,Robust,Robust
claude-sonnet-4,drop_claude,anthropic,0.7112932256235828,0.583009366625438,0.5453977578720881,0.6181649305555555,-0.12828385899814476,-0.12908878324056894,-0.16942500418728096,-0.09092518134147604,Moderate,Robust
claude-sonnet-4.5,drop_claude,anthropic,0.78265731292517,0.8438024376417234,0.8215807468820862,0.8663106221655328,0.06114512471655331,0.06114512471655331,0.031865894274376416,0.09054582979024943,Robust,Robust
deepseek-v3.1-terminus,drop_claude,independent,0.7881838151927438,-0.24422954030096888,-0.2822476502911771,-0.20994118641774892,-1.0324133554937127,-1.0307223800172989,-1.0700270593154084,-0.9864213912544868,Failed,No
gemini-2.0-flash-001,drop_claude,google,0.7790490362811792,-0.6945507369614512,-0.714461079223356,-0.6740381412981858,-1.4735997732426305,-1.473977377409297,-1.5047867417800456,-1.4425146860827665,Failed,No
gemini-2.5-flash,drop_claude,google,0.7577494331065759,-0.6633425453514739,-0.6812446499433107,-0.6429406710600907,-1.4210919784580498,-1.4193224244702176,-1.4491268212285549,-1.3874047663938027,Failed,No
gemini-2.5-pro,drop_claude,google,0.800531462585034,-0.6769584235209236,-0.6999686292130488,-0.6538506831709956,-1.4774898861059578,-1.4769722093382809,-1.5100887204313544,-1.4442714388785816,Failed,No
gemini-3-pro-preview,drop_claude,google,0.803359552154195,-0.4430342970521542,-0.4998257157029478,-0.3887766439909297,-1.246393849206349,-1.246393849206349,-1.305179404053288,-1.1876188527494334,Failed,No
gpt-4.1,drop_claude,openai,0.6946960034013605,-0.5658459212336621,-0.592838724991401,-0.5359990218699839,-1.2605419246350227,-1.2602376175189178,-1.2959993622448978,-1.2230951204568907,Failed,No
gpt-4o-2024-11-20,drop_claude,openai,0.7247095315398887,-0.5854251700680273,-0.6060757511337868,-0.5632608241213152,-1.310134701607916,-1.3104692975675118,-1.342685475610699,-1.2767714082792208,Failed,No
gpt-5,drop_claude,openai,0.8739108560090703,0.8449355158730159,0.8247919323979591,0.8656705994897959,-0.028975340136054406,-0.028917942176870826,-0.05011134141156462,-0.009496563208616778,Robust,Robust
gpt-5.1,drop_claude,openai,0.8825963718820862,0.8475599747474747,0.8259544150046382,0.8666682304550607,-0.035036397134611486,-0.03467023551844961,-0.05356950081168832,-0.016821159619150695,Robust,Robust
grok-4,drop_claude,independent,0.712142148526077,-0.7107363172541744,-0.7267956687409813,-0.6936040378272521,-1.4228784657802516,-1.4228063714420056,-1.4525709796420696,-1.3938148345629533,Failed,No
llama-3.1-405b-instruct,drop_claude,independent,0.586587623685838,-0.43725610698824985,-0.4687193684291899,-0.40693902513656977,-1.023843730674088,-1.0221626102594148,-1.06739628995039,-0.9787930938174711,Failed,No
llama-4-maverick,drop_claude,independent,0.6158874830782047,-0.056642251597608745,-0.09399825744691814,-0.017933370696763554,-0.6725297346758135,-0.6731265294699573,-0.7168382731958761,-0.6329829472235239,Failed,No
claude-opus-4.1,drop_gpt,anthropic,0.7269286941580756,0.6803309240362811,0.6430546343537415,0.7162505137471655,-0.046597770121794446,-0.049001256117879755,-0.09087156194678746,-0.00405284481412059,Robust,Robust
claude-sonnet-4,drop_gpt,anthropic,0.7224326814058957,0.47012201092558237,0.4288476957070707,0.5095826504844362,-0.2523106704803133,-0.2527210240156669,-0.30316563595135027,-0.2079080086580087,Moderate,No
claude-sonnet-4.5,drop_gpt,anthropic,0.7910693027210884,0.7558560090702948,0.728376488095238,0.7838487103174603,-0.03521329365079362,-0.03521329365079362,-0.06971044146825398,-0.0018609339569161092,Robust,Robust
deepseek-v3.1-terminus,drop_gpt,independent,0.7753394274376417,-0.4559558596165739,-0.48507054924242426,-0.4267263611884148,-1.2312952870542158,-1.230493356667878,-1.264424631499351,-1.194838420381625,Failed,No
gemini-2.0-flash-001,drop_gpt,google,0.7677983276643991,-0.7894139739229025,-0.8052481575963719,-0.7738044571995465,-1.5572123015873016,-1.5575638640873015,-1.5847673212514173,-1.5287289031498017,Failed,No
gemini-2.5-flash,drop_gpt,google,0.7389158163265306,-0.75484481292517,-0.7701894309807256,-0.7368927154195012,-1.4937606292517005,-1.4913016562207124,-1.5204467539034026,-1.4609654482160523,Failed,No
gemini-2.5-pro,drop_gpt,google,0.7938796768707483,-0.8145296717171717,-0.8326607481060607,-0.796191682449495,-1.60840934858792,-1.6080715960626675,-1.6373407029478457,-1.5786446158008658,Failed,No
gemini-3-pro-preview,drop_gpt,google,0.8196846655328798,-0.4595393990929705,-0.5191551870748299,-0.4013194444444444,-1.2792240646258501,-1.2792240646258501,-1.3406865610827665,-1.2183635558390022,Failed,No
gpt-4.1,drop_gpt,openai,0.7118246882086168,-0.6904960874799357,-0.7130670216120156,-0.6658703010347398,-1.4023207756885525,-1.4022076358633342,-1.4322037090116946,-1.3669981798899336,Failed,No
gpt-4o-2024-11-20,drop_gpt,openai,0.7097057951968666,-0.6999546485260771,-0.7160286635487529,-0.6828850269274376,-1.4096604437229439,-1.410320165945166,-1.4391169539785613,-1.3804439951169865,Failed,No
gpt-5,drop_gpt,openai,0.8931001984126985,0.8588229875283446,0.8383655045351474,0.8772657844387756,-0.03427721088435387,-0.034200680272108874,-0.054200148809523806,-0.01509243905895692,Robust,Robust
gpt-5.1,drop_gpt,openai,0.8850290532879819,0.8400306637806638,0.8177789936997526,0.8592657119666048,-0.04499838950731805,-0.04506152082044945,-0.06348965902648937,-0.027023395627190274,Robust,Robust
grok-4,drop_gpt,independent,0.7077515589569161,-0.8079524196042054,-0.8221925327896309,-0.7928800730519481,-1.5157039785611215,-1.5150940050007065,-1.542137691514723,-1.488145931066715,Failed,No
llama-3.1-405b-instruct,drop_gpt,independent,0.6045059652648939,-0.5595087353123067,-0.5850466656359514,-0.5345399949752628,-1.1640147005772006,-1.1628417872332346,-1.2016742272517063,-1.1237195256641332,Failed,No
llama-4-maverick,drop_gpt,independent,0.6330782372696033,-0.20247519841269843,-0.23876208835807047,-0.16451719845135024,-0.8355534356823018,-0.8357195017182131,-0.8756080895943976,-0.796402506052796,Failed,No
claude-opus-4.1,drop_gemini,anthropic,0.6129578321878579,0.62468962585034,0.5920977714002268,0.6573862492913833,0.011731793662482115,0.00859809434551706,-0.029092465407945432,0.047737882204779765,Robust,Robust
claude-sonnet-4,drop_gemini,anthropic,0.6389299886621316,0.44817080241187385,0.4140189136260565,0.48239698322510827,-0.19075918625025773,-0.19174087816944962,-0.23133652532982887,-0.15287604037827252,Moderate,No
claude-sonnet-4.5,drop_gemini,anthropic,0.6909431689342403,0.714046201814059,0.687063492063492,0.7408118445294785,0.02310303287981863,0.02310303287981863,-0.007424780328798176,0.05700232071995465,Robust,Robust
deepseek-v3.1-terminus,drop_gemini,independent,0.6903344671201814,-0.36779929396000827,-0.39313590142496396,-0.3423189323077716,-1.0581337610801897,-1.0568199789287787,-1.0914213072100132,-1.020934437971924,Failed,No
gemini-2.0-flash-001,drop_gemini,google,0.7001225907029479,-0.6345528628117914,-0.6511395620748298,-0.6172399376417234,-1.3346754535147394,-1.3354046201814058,-1.3643332513995183,-1.305781269929847,Failed,No
gemini-2.5-flash,drop_gemini,google,0.6644515306122449,-0.6245323129251701,-0.6386025191326531,-0.6098536174886621,-1.288983843537415,-1.288714871003853,-1.3171194364513368,-1.2599842484933093,Failed,No
gemini-2.5-pro,drop_gemini,google,0.6932079081632654,-0.6717216810966811,-0.6896157622139765,-0.654263645704494,-1.3649295892599465,-1.3641499175427747,-1.395076899415069,-1.3366391352942693,Failed,No
gemini-3-pro-preview,drop_gemini,google,0.7249617346938776,-0.45024092970521545,-0.5051601296768707,-0.3962234091553288,-1.1752026643990932,-1.1752026643990932,-1.2310081845238094,-1.1167672016723356,Failed,No
gpt-4.1,drop_gemini,openai,0.5964455782312925,-0.5673295975693649,-0.5872231480021785,-0.5462977169800506,-1.1637751758006574,-1.1634123480853016,-1.1943233292966062,-1.132732802109608,Failed,No
gpt-4o-2024-11-20,drop_gemini,openai,0.6092270923520924,-0.5420719954648526,-0.5588603847789115,-0.5250720308956915,-1.1512990878169451,-1.150980274685632,-1.180029032351577,-1.1187445130514326,Failed,No
gpt-5,drop_gemini,openai,0.8185600907029478,0.7801969954648525,0.7581380739795919,0.8030855300453514,-0.038363095238095224,-0.03822916666666665,-0.056443912981859405,-0.018954205640589573,Robust,Robust
gpt-5.1,drop_gemini,openai,0.8267509920634921,0.7887499355802927,0.7685732258812615,0.8089695826247165,-0.0380010564831994,-0.03812731910946199,-0.056461185515873015,-0.019038328115337046,Robust,Robust
grok-4,drop_gemini,independent,0.6411507936507936,-0.6605312693259122,-0.6744476235569985,-0.6452915861420325,-1.3016820629767059,-1.3017107543562199,-1.3289688056615223,-1.2745774918230401,Failed,No
llama-3.1-405b-instruct,drop_gemini,independent,0.4816738816738817,-0.4633195475159761,-0.4868251777983921,-0.44085998215574107,-0.9449934291898578,-0.944314767573696,-0.9814478505517039,-0.9048379596854692,Failed,No
llama-4-maverick,drop_gemini,independent,0.526639429084661,-0.1573806947021233,-0.18662388392857143,-0.12681045467429394,-0.6840201237867842,-0.6840259228886807,-0.7210499445160368,-0.6494367653662918,Failed,No
