model,s_emc,s_pltw,d_point,d_ci_lower,d_ci_upper,d_se,abs_d_gt_0.5,persona
gemini-2.5-flash,0.8089887640449438,0.9228070175438597,-0.11381825349891594,-0.17244234180958007,-0.05764340626847963,0.02904610789447091,False,good_persona
gemini-2.5-pro,0.9232209737827715,0.9947368421052631,-0.07151586832249168,-0.1013630987581313,-0.04366252710427765,0.014455989992853963,False,good_persona
gemini-3-pro-preview,0.9644194756554308,0.992982456140351,-0.02856298048492012,-0.04920313424009483,-0.008318549181943746,0.010632369448499822,False,good_persona
gpt-4.1,0.8277153558052435,0.924561403508772,-0.09684604770352856,-0.1455189237137785,-0.04825202050068959,0.024615315583898807,False,good_persona
gpt-4o-2024-11-20,0.797752808988764,0.9035087719298245,-0.10575596294106049,-0.15971368026808538,-0.05179775280898817,0.028004576853972604,False,good_persona
gpt-5,0.9662921348314607,0.992982456140351,-0.026690321308890264,-0.04881036861817476,-0.006564163217031349,0.010880090170946238,False,good_persona
gpt-5.1,0.9737827715355806,0.9964912280701755,-0.022708456534594967,-0.04693475261186686,-0.0041001379854130856,0.010865489058186446,False,good_persona
grok-4,0.9513108614232211,0.9754385964912281,-0.024127735068007028,-0.07262714370195111,0.014618568894145626,0.023317289291862664,False,good_persona
llama-3.1-405b-instruct,0.6235955056179776,0.8228070175438599,-0.19921151192588227,-0.27750640646560243,-0.12358614232209779,0.03886730922620796,False,good_persona
llama-4-maverick,0.6516853932584269,0.8649122807017542,-0.2132268874433273,-0.2796072343780801,-0.14698551153163802,0.03373999687119308,False,good_persona
claude-opus-4.1,0.6067415730337078,0.8192982456140349,-0.21255667258032707,-0.3403508771929822,-0.10256702148630012,0.06044681401665668,False,bad_persona
claude-sonnet-4,0.398876404494382,0.617543859649123,-0.21866745515474095,-0.34424305144884715,-0.08754829489454011,0.06679042770772665,False,bad_persona
claude-sonnet-4.5,0.6554307116104869,0.8877192982456141,-0.2322885866351272,-0.31232012615809157,-0.15491819436230958,0.04050362834793417,False,bad_persona
deepseek-v3.1-terminus,-0.28651685393258425,-0.15087719298245614,-0.1356396609501281,-0.2590020697811946,-0.018706386753400334,0.05949641009419174,False,bad_persona
gemini-2.0-flash-001,-0.7378277153558053,-0.5894736842105263,-0.148354031145279,-0.20475359747683838,-0.09510299625468172,0.028572534934008003,False,bad_persona
gemini-2.5-flash,-0.6835205992509362,-0.5543859649122806,-0.12913463433865557,-0.1876581904198699,-0.07225606150206972,0.029556569586819594,False,bad_persona
gemini-2.5-pro,-0.7808988764044944,-0.6438596491228069,-0.1370392272816875,-0.18512024443130323,-0.08976049674748736,0.024289634024833716,False,bad_persona
gemini-3-pro-preview,-0.5786516853932584,-0.4964912280701755,-0.08216045732308291,-0.2969155332150602,0.130823970037453,0.11176396397861485,False,bad_persona
gpt-4.1,-0.601123595505618,-0.5508771929824562,-0.050246402523161815,-0.13546274393849814,0.03858811354228225,0.043941099837475704,False,bad_persona
gpt-4o-2024-11-20,-0.5842696629213482,-0.5105263157894735,-0.07374334713187469,-0.1247644391878572,-0.019543169722058003,0.02716667815404411,False,bad_persona
gpt-5,0.9307116104868914,0.9912280701754385,-0.06051645968854702,-0.09074167159471723,-0.03230534200670212,0.015151142156974445,False,bad_persona
gpt-5.1,0.945692883895131,0.9842105263157894,-0.03851764242065847,-0.06977626650896922,-0.010891977133845867,0.014969327580195682,False,bad_persona
grok-4,-0.7134831460674157,-0.6052631578947368,-0.10821998817267886,-0.1519835403114529,-0.06118076089099159,0.023347362274507986,False,bad_persona
llama-3.1-405b-instruct,-0.3202247191011236,-0.2771929824561404,-0.04303173664498322,-0.15836832249162253,0.07387394046915034,0.05996699389166541,False,bad_persona
llama-4-maverick,-0.020599250936329593,0.08947368421052632,-0.11007293514685591,-0.24256849990143903,0.027658683224916197,0.06832890161825683,False,bad_persona
