model,config,s_baseline,s_baseline_ci_lower,s_baseline_ci_upper,s_good_persona,s_good_persona_ci_lower,s_good_persona_ci_upper,s_bad_persona,s_bad_persona_ci_lower,s_bad_persona_ci_upper,delta_bad,delta_bad_ci_lower,delta_bad_ci_upper,delta_good,delta_good_ci_lower,delta_good_ci_upper,flipped,robust_strict
gpt-5,drop_claude,0.8739108560090703,0.8553102678571429,0.8920916595804989,0.9469508219954649,0.9378647073412698,0.9559942602040816,0.8449355158730159,0.8239165072278912,0.8645592601536085,-0.028975340136054406,-0.048867809731280853,-0.009489785541481525,0.07303996598639462,0.05668806689342404,0.08967274305555556,False,True
gpt-5.1,drop_claude,0.8825963718820862,0.8660812960600907,0.8997135416666666,0.9342138218923933,0.9219657738095238,0.9461497709879405,0.8475599747474747,0.8272824031127602,0.8676500850340135,-0.035036397134611486,-0.05496419713718817,-0.016572952097505658,0.05161745001030715,0.03512122339466095,0.06789050099206358,False,True
grok-4,drop_claude,0.712142148526077,0.6890691078514739,0.7361091446995464,0.8919152000687915,0.8756727032456242,0.9080147967543759,-0.7107363172541744,-0.7272914911229644,-0.693389597505669,-1.4228784657802516,-1.4488966463664894,-1.3963346145544293,0.1797730515427145,0.15720962961333954,0.20266063808401444,True,False
llama-3.1-405b-instruct,drop_claude,0.586587623685838,0.5557375814909298,0.6191963126159554,0.7007064909297053,0.6762464768459466,0.7267639087286207,-0.43725610698824985,-0.46699882917182023,-0.4078408623866213,-1.023843730674088,-1.0660537695191712,-0.981628684058045,0.11411886724386722,0.07825406106510303,0.1487719927510011,True,False
llama-4-maverick,drop_claude,0.6158874830782047,0.5878915158423137,0.6433633663487655,0.6733567176870748,0.6441907000489591,0.6992217084750567,-0.056642251597608745,-0.09350255236525257,-0.020180653446945782,-0.6725297346758135,-0.7177785828746915,-0.6288415261837327,0.0574692346088701,0.02397453665924559,0.08967079797745518,True,False
claude-opus-4.1,drop_gpt,0.7269286941580756,0.7012875035430839,0.7511582341269841,0.8843215316429602,0.8664518446583178,0.9007659986343022,0.6803309240362811,0.6426085069444445,0.7202194409013605,-0.046597770121794446,-0.09152533067565524,0.00011048833193054372,0.15739283748488464,0.13031635981441902,0.1849398537599592,False,True
claude-sonnet-4,drop_gpt,0.7224326814058957,0.6956197562358277,0.7512884778911565,0.8866418006596578,0.8696808905380334,0.9033154021078127,0.47012201092558237,0.43076849489795915,0.5123208260645323,-0.2523106704803133,-0.2981047335600907,-0.20497861748866206,0.16420911925376214,0.136322175840033,0.19097980442176868,False,False
claude-sonnet-4.5,drop_gpt,0.7910693027210884,0.7671203939909298,0.8141921237244899,0.9292127267573695,0.9144898844954649,0.9428856292517007,0.7558560090702948,0.7255390447845805,0.7838636798469389,-0.03521329365079362,-0.07368686224489798,-0.001851969954648541,0.1381434240362811,0.11479710530045353,0.16200961947278908,False,True
deepseek-v3.1-terminus,drop_gpt,0.7753394274376417,0.753108099489796,0.7973167162698414,0.8901294942375576,0.8721539518269429,0.9063715085680867,-0.4559558596165739,-0.4841925449098337,-0.4270429953231292,-1.2312952870542158,-1.265774481099258,-1.1953900870954441,0.11479006679991588,0.08721846694739122,0.1407382966567612,True,False
gemini-2.0-flash-001,drop_gpt,0.7677983276643991,0.745108205782313,0.7910023384353742,0.8722360402494331,0.8530694106452887,0.8904148168039145,-0.7894139739229025,-0.8055894805839001,-0.773163743622449,-1.5572123015873016,-1.586579719387755,-1.5284476509353742,0.10443771258503398,0.0776993404269604,0.13207931857638883,True,False
gemini-2.5-flash,drop_gpt,0.7389158163265306,0.7147783269557823,0.761438031462585,0.8265756876106425,0.8035100604934957,0.8475394265875672,-0.75484481292517,-0.7703517219387755,-0.7378867453231293,-1.4937606292517005,-1.5218881094104308,-1.464204790249433,0.0876598712841119,0.060383697678618856,0.11471205694643344,True,False
gemini-2.5-pro,drop_gpt,0.7938796768707483,0.7713976580215419,0.8148604379251702,0.9524342918985776,0.9401907934575345,0.9644183673469389,-0.8145296717171717,-0.8318417771464647,-0.796546551290971,-1.60840934858792,-1.6356338560992578,-1.5810573915172128,0.1585546150278293,0.1367962018140589,0.18077371933621944,True,False
gemini-3-pro-preview,drop_gpt,0.8196846655328798,0.7939523100907029,0.8445877976190477,0.9612393707482993,0.9509027777777778,0.9709908056972789,-0.4595393990929705,-0.5162142857142856,-0.40070838647959184,-1.2792240646258501,-1.3394979272959182,-1.2134790958049888,0.14155470521541957,0.11614035926870749,0.16761061507936503,True,False
gpt-4.1,drop_gpt,0.7118246882086168,0.6871321038832199,0.7360754676870748,0.8838825113378685,0.866747236394558,0.8996034757653062,-0.6904960874799357,-0.7135950091881322,-0.6678150768968636,-1.4023207756885525,-1.4372997172300568,-1.3684518546650868,0.17205782312925177,0.14696811224489792,0.19697287769274366,True,False
gpt-4o-2024-11-20,drop_gpt,0.7097057951968666,0.6852098262600494,0.7375254490053598,0.8441780045351475,0.8251887755102041,0.8637886904761904,-0.6999546485260771,-0.7161550453514739,-0.6840374503968254,-1.4096604437229439,-1.4420459715136054,-1.3788689728224544,0.13447220933828086,0.10833983489229017,0.1632262613378684,True,False
gpt-5,drop_gpt,0.8931001984126985,0.8743775864512471,0.9103426162131518,0.9601948696145125,0.9504780683106575,0.968670953798186,0.8588229875283446,0.8362093401735108,0.8792919403175984,-0.03427721088435387,-0.05339131133553078,-0.015556120838486879,0.067094671201814,0.04983221726190476,0.08550340136054405,False,True
gpt-5.1,drop_gpt,0.8850290532879819,0.8680803394274377,0.8998631306689342,0.9309513502370645,0.9173848700455268,0.9428237315759637,0.8400306637806638,0.8180672654478458,0.8600176268424036,-0.04499838950731805,-0.06336954365079359,-0.026237056470315292,0.045922296949082675,0.030621619575860605,0.06098552328128204,False,True
grok-4,drop_gpt,0.7077515589569161,0.6853777281746032,0.7292486181972789,0.9323887153175877,0.9164203772418057,0.9476555107838589,-0.8079524196042054,-0.8212547372218425,-0.7936838490130901,-1.5157039785611215,-1.5398705606852239,-1.4899798275497722,0.2246371563606716,0.20216659701738204,0.24858977229117307,True,False
llama-3.1-405b-instruct,drop_gpt,0.6045059652648939,0.5759494579081633,0.6346561372655123,0.7340414186507936,0.7074654677523422,0.7586291505363111,-0.5595087353123067,-0.5862252386750155,-0.5334450467687074,-1.1640147005772006,-1.2008542729591838,-1.1267903734410432,0.12953545338589978,0.09502749269151775,0.1669237946076586,True,False
llama-4-maverick,drop_gpt,0.6330782372696033,0.6042029454030862,0.6581606724129047,0.7080867346938775,0.6797729801200784,0.733460897237683,-0.20247519841269843,-0.23810179602143886,-0.16847410971964544,-0.8355534356823018,-0.8781179696908668,-0.7947359899003461,0.07500849742427418,0.04110321685610602,0.10859504725185536,True,False
claude-opus-4.1,drop_gemini,0.6129578321878579,0.5866990408881013,0.6386700617035367,0.7852016336837766,0.7653772224799011,0.8045011176819212,0.62468962585034,0.5927990362811791,0.6587662096088436,0.011731793662482115,-0.02516982220293618,0.05084688581188497,0.17224380149591867,0.1439520926741908,0.20003488221927412,False,True
claude-sonnet-4,drop_gemini,0.6389299886621316,0.61366335388322,0.6648039434523809,0.7875909606266749,0.7671552579365079,0.8079052553796433,0.44817080241187385,0.413695241638322,0.4816071283627087,-0.19075918625025773,-0.2321201593072797,-0.15083784053784738,0.1486609719645433,0.11967459834312509,0.17635127649642324,False,False
claude-sonnet-4.5,drop_gemini,0.6909431689342403,0.6650246421485261,0.7169540107709751,0.8437365362811792,0.8248010204081632,0.8626860119047619,0.714046201814059,0.6865051020408163,0.7407275368480727,0.02310303287981863,-0.011990097080498861,0.054144362953514616,0.15279336734693882,0.12645243409863943,0.17909679705215414,False,True
deepseek-v3.1-terminus,drop_gemini,0.6903344671201814,0.6672008219954648,0.7139186862244898,0.7795122013582065,0.757797259907751,0.8016101418043946,-0.36779929396000827,-0.39046700744691815,-0.34224992269635124,-1.0581337610801897,-1.0906173372758194,-1.0241103944418677,0.08917773423802511,0.06148114896731881,0.11661994949494957,True,False
gemini-2.0-flash-001,drop_gemini,0.7001225907029479,0.6770200715702948,0.7255761763038548,0.760803837159864,0.7389621334277912,0.7834950323888694,-0.6345528628117914,-0.6518414824263039,-0.6179807610544217,-1.3346754535147394,-1.364250318877551,-1.305227483701814,0.06068124645691608,0.03390830277423465,0.08761256541920898,True,False
gemini-2.5-flash,drop_gemini,0.6644515306122449,0.638124362244898,0.6904558886054423,0.695344350398313,0.6688406841183999,0.7217579239498292,-0.6245323129251701,-0.6382923221371882,-0.6097519841269841,-1.288983843537415,-1.3147262967687077,-1.2615922973356009,0.03089281978606806,0.0027137733956419554,0.05894295909700567,True,False
gemini-2.5-pro,drop_gemini,0.6932079081632654,0.6652310267857143,0.7208960636337869,0.8645359848484848,0.8441646825396826,0.8838917056405896,-0.6717216810966811,-0.6889359088332303,-0.6541212990878169,-1.3649295892599465,-1.3966548104851908,-1.3351236278602352,0.17132807668521943,0.14512406591424462,0.197801204004329,True,False
gemini-3-pro-preview,drop_gemini,0.7249617346938776,0.6985063244047619,0.7533898100907029,0.8969543650793651,0.8800319586167801,0.913858914399093,-0.45024092970521545,-0.5018136515022675,-0.3961611040249433,-1.1752026643990932,-1.2357656427154196,-1.1156281710600908,0.1719926303854875,0.14528443877551026,0.19853101969954634,True,False
gpt-4.1,drop_gemini,0.5964455782312925,0.5710094423185941,0.6214149659863945,0.748625283446712,0.7259291560374149,0.7710750248015874,-0.5673295975693649,-0.5863979328165376,-0.5468494012188209,-1.1637751758006574,-1.1958717202316531,-1.1313864610802185,0.15217970521541946,0.12549473852040813,0.18047503897392292,True,False
gpt-4o-2024-11-20,drop_gemini,0.6092270923520924,0.5843392919072111,0.6352631432307771,0.6991468253968254,0.6748566822562359,0.7235817389455783,-0.5420719954648526,-0.5582533482142857,-0.5262432149943311,-1.1512990878169451,-1.1816808840960626,-1.1210731981044137,0.089919733044733,0.06108209969593885,0.11829954001672528,True,False
gpt-5,drop_gemini,0.8185600907029478,0.7970338010204081,0.8377817283163265,0.9103217120181406,0.8952101757369615,0.9235613839285713,0.7801969954648525,0.7579107305068623,0.8014713496008369,-0.038363095238095224,-0.05704320462076571,-0.019731788548752842,0.09176162131519283,0.07170875850340129,0.1099016262755101,False,True
gpt-5.1,drop_gemini,0.8267509920634921,0.8094256129535148,0.8443052012471656,0.8866631880024738,0.870509017148526,0.9016655264378479,0.7887499355802927,0.7675494614512471,0.8092487422052155,-0.0380010564831994,-0.05714602820294783,-0.01959663922387126,0.05991219593898167,0.0425125698953823,0.07584845424912394,False,True
grok-4,drop_gemini,0.6411507936507936,0.6171085778061225,0.6635694444444443,0.8546617748222884,0.8348789505385488,0.8750764066043084,-0.6605312693259122,-0.6746279939058957,-0.6447039930410279,-1.3016820629767059,-1.3251671467429131,-1.2759377093640485,0.2135109811714948,0.18629620081881074,0.23898418013038542,True,False
llama-3.1-405b-instruct,drop_gemini,0.4816738816738817,0.45175373795351476,0.5111344068877551,0.5816721584467119,0.5529607219531321,0.6108454404239766,-0.4633195475159761,-0.4849545406230674,-0.4406549050891834,-0.9449934291898578,-0.9821521915584415,-0.9092024872448979,0.09999827677283024,0.06328084709075517,0.13598746714594923,True,False
llama-4-maverick,drop_gemini,0.526639429084661,0.5003660130191564,0.5533344956738759,0.5808255385487529,0.5525691621433406,0.6085607236265719,-0.1573806947021233,-0.1861711808776541,-0.12831604308390024,-0.6840201237867842,-0.7217514060099204,-0.6488710738118515,0.05418610946409186,0.023203134671257654,0.08403668135354048,True,False
claude-opus-4.1,claude_only,0.6357595933562428,0.6062989153780068,0.6627199357459909,0.812319882498454,0.7894600404555762,0.8371832708462174,0.623639455782313,0.5836066468253969,0.663906462585034,-0.012120137573929823,-0.056190905789399115,0.033045205321711936,0.17656028914221122,0.14591589240155606,0.2089413561171891,False,True
claude-sonnet-4,claude_only,0.6500694444444444,0.622500248015873,0.6782735260770975,0.814928107606679,0.7892585001803752,0.8400019358122037,0.33528344671201815,0.29286384250669967,0.37931115040713254,-0.3147859977324262,-0.3628639729732099,-0.26496515860131936,0.16485866316223463,0.13172499226963505,0.19714132717480937,False,False
claude-sonnet-4.5,claude_only,0.6993551587301587,0.6710272463151927,0.7277613378684807,0.8775992063492064,0.8535122236394558,0.898297477324263,0.6260997732426303,0.5830741213151927,0.6673572491496599,-0.07325538548752841,-0.12220780187074841,-0.026382192460317515,0.17824404761904766,0.14533822278911565,0.21038236961451248,False,True
deepseek-v3.1-terminus,claude_only,0.6774900793650793,0.6514485189909297,0.7038043154761905,0.8163483297098908,0.7899642502834467,0.8413408040062617,-0.5795256132756132,-0.6017300170068027,-0.5541741425736961,-1.2570156926406926,-1.2923754734848485,-1.2230624581271903,0.13885825034481147,0.10323781942003277,0.17167027881911906,True,False
gemini-2.0-flash-001,claude_only,0.6888718820861679,0.6610531108276644,0.7147124787414966,0.8052712230725623,0.7804943820979672,0.8286538668098817,-0.7294160997732426,-0.7447868126417234,-0.7143817672902495,-1.4182879818594105,-1.449812110260771,-1.3876287910997733,0.11639934098639437,0.08596738953630693,0.1476774952168367,True,False
gemini-2.5-flash,claude_only,0.6456179138321996,0.6180838293650793,0.6726304917800453,0.7398020963500989,0.7091024203787724,0.7663061468014553,-0.7160345804988661,-0.7304752338435375,-0.7012550311791383,-1.3616524943310657,-1.392640306122449,-1.3297450396825397,0.09418418251789928,0.059768680713686184,0.1267922885824902,True,False
gemini-2.5-pro,claude_only,0.6865561224489796,0.657999185090703,0.7160429067460318,0.9226421098742528,0.9048437098206981,0.9397239003555967,-0.8092929292929293,-0.8253680555555556,-0.7938177083333333,-1.4958490517419087,-1.5280153866470831,-1.465404558982684,0.2360859874252732,0.2078964292156256,0.26746420841063695,True,False
gemini-3-pro-preview,claude_only,0.7412868480725623,0.7120361748866213,0.7717345167233559,0.9321513605442177,0.9151671981292516,0.9485364583333333,-0.46674603174603174,-0.5235383361678005,-0.40988470804988664,-1.208032879818594,-1.2713645124716555,-1.1402536493764173,0.19086451247165537,0.1561324404761905,0.222734197845805,True,False
gpt-4.1,claude_only,0.6135742630385488,0.5843687996031746,0.641078054138322,0.801921768707483,0.7762432327097506,0.8266461876417234,-0.6919797638156386,-0.7095511057642754,-0.6742340857627526,-1.3055540268541874,-1.3376675170068026,-1.272898050619848,0.1883475056689342,0.15553677721088446,0.22175977891156468,True,False
gpt-4o-2024-11-20,claude_only,0.5942233560090703,0.5661457721346115,0.6245859455524634,0.7649603174603175,0.7375592049319728,0.7903487811791383,-0.6566014739229025,-0.6693548752834467,-0.6429637542517007,-1.2508248299319726,-1.2831980412225028,-1.2168027307513916,0.17073696145124717,0.1373692748603952,0.20347139997439156,True,False
gpt-5,claude_only,0.8377494331065759,0.8140485402494332,0.8597798681972789,0.9235657596371882,0.9053197633219955,0.9392739158163266,0.7940844671201814,0.7664845521541951,0.8185165687487116,-0.043664965986394466,-0.06675026089981445,-0.02056346294179962,0.08581632653061233,0.06261933106575965,0.10848961876417233,False,True
gpt-5.1,claude_only,0.8291836734693878,0.8073596938775509,0.8491345663265305,0.8834007163471449,0.8628849914965986,0.9028987386621316,0.7812206246134819,0.7545588924963925,0.8066061668985777,-0.047963048855905965,-0.07117471268810548,-0.023493722299526003,0.05421704287775708,0.03355847417091825,0.07427733650278295,False,True
grok-4,claude_only,0.6367602040816327,0.6109169146825396,0.6617505668934239,0.8951352900710846,0.8737048125429947,0.9162622889277434,-0.7577473716759431,-0.7735696827973614,-0.7426099300056636,-1.3945075757575758,-1.4214620262778157,-1.3647859836406155,0.2583750859894519,0.22715231635289768,0.28767454823689775,True,False
llama-3.1-405b-instruct,claude_only,0.49959222325293756,0.467281462585034,0.5312541808390022,0.6150070861678004,0.580593066471253,0.6468400103114699,-0.585572175840033,-0.6064865584254535,-0.5648298771828318,-1.0851643990929705,-1.1208566049525872,-1.047646970341167,0.11541486291486286,0.07488574192261643,0.15962845997026656,True,False
llama-4-maverick,claude_only,0.5438301832760596,0.5122425987156688,0.5729631128729901,0.6155555555555556,0.5832478483817769,0.6454481026785714,-0.303213641517213,-0.3371358160688518,-0.27099627331993403,-0.8470438247932726,-0.8885945117630386,-0.8077458566750785,0.07172537227949605,0.034600245598473627,0.10828285697502688,True,False
claude-opus-4.1,gpt_only,0.5901560710194731,0.559648495029455,0.6224419504055919,0.7580833848690991,0.7322168228545713,0.784380800528445,0.6257397959183674,0.5929867134353741,0.66057918792517,0.035583724898894276,-0.003799078248363803,0.08038441714405054,0.167927313849626,0.13448332384221837,0.19979825599747475,False,True
claude-sonnet-4,gpt_only,0.6277905328798187,0.5990988874716553,0.6594973072562357,0.7602538136466708,0.7343856292517007,0.7862855339105339,0.5610581581117295,0.5259375225468976,0.5977307610544217,-0.06673237476808913,-0.10959262265512268,-0.02481749574829925,0.1324632807668521,0.09466791640898788,0.16542437126365697,False,True
claude-sonnet-4.5,gpt_only,0.682531179138322,0.6487174744897959,0.7126798823696144,0.8098738662131519,0.7857849348072562,0.8349557823129252,0.8019926303854875,0.7754252409297052,0.8248835034013606,0.11946145124716556,0.08431657454648532,0.15255959467120178,0.12734268707482999,0.09670553429705202,0.15934683248299317,False,True
deepseek-v3.1-terminus,gpt_only,0.7031788548752834,0.6706040958049887,0.7341101544784581,0.7426760730065223,0.7145281709457977,0.7710084808544629,-0.15607297464440323,-0.19198097363945577,-0.11794162933644249,-0.8592518295196867,-0.9018818381519275,-0.8084209119253762,0.039497218131238854,0.005065743565467399,0.076295989229025,True,False
gemini-2.0-flash-001,gpt_only,0.7113732993197279,0.6816153982426303,0.7423689413265306,0.7163364512471655,0.68751510286132,0.7447910121549693,-0.5396896258503402,-0.5654514597505669,-0.5145526147959184,-1.2510629251700682,-1.2891791028911563,-1.2118655753968253,0.00496315192743757,-0.0285510505426398,0.039969326556380094,True,False
gemini-2.5-flash,gpt_only,0.6832851473922903,0.6514085530045353,0.7145025510204082,0.6508866044465271,0.6172426852307155,0.6844417082523885,-0.5330300453514739,-0.5535707908163265,-0.5133558673469388,-1.2163151927437643,-1.2496109339569161,-1.1805036139455782,-0.032398542945763165,-0.06663780724381675,0.0031098466646640645,True,False
gemini-2.5-pro,gpt_only,0.699859693877551,0.6649009708049887,0.733686543367347,0.806429859822717,0.7790636043953566,0.8341538890177282,-0.5341504329004328,-0.5588815945649093,-0.5066492153679654,-1.2340101267779837,-1.2760238159657804,-1.190280303030303,0.106570165945166,0.07223575680272101,0.1388335663732847,True,False
gemini-3-pro-preview,gpt_only,0.7086366213151928,0.6779561366213153,0.7427217261904762,0.8617573696145124,0.8394764739229025,0.8847836238662132,-0.4337358276643991,-0.4833390022675737,-0.38234286422902497,-1.142372448979592,-1.201690051020408,-1.0847217616213152,0.15312074829931965,0.11873618197278919,0.18482224348072554,True,False
gpt-4.1,gpt_only,0.5793168934240362,0.5450026927437641,0.6126332553854876,0.6953287981859411,0.6639201034580499,0.7252894345238095,-0.44267943132309107,-0.4721955892270701,-0.4138298197087824,-1.0219963247471273,-1.0659911597342375,-0.9796559510274148,0.11601190476190482,0.07961164257369609,0.1550396825396825,True,False
gpt-4o-2024-11-20,gpt_only,0.6242308286951144,0.5932133967223252,0.6557745154509007,0.6333333333333333,0.6016791028911566,0.664857851473923,-0.4275425170068027,-0.4543230583900227,-0.3999434523809524,-1.0517733457019172,-1.091152433132344,-1.0103860415378272,0.009102504638218933,-0.025910827020202046,0.045287237811791316,True,False
