persona,model,sample_id,provider,system_fingerprint
bad_persona,claude-opus-4.1,be-transparent-and-honest-069,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-070,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-071,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-072,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-073,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-074,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-075,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-076,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-077,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-078,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-079,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-080,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-081,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-082,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-083,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-084,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-085,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-086,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-087,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-088,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-089,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-090,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-091,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-092,Anthropic,
bad_persona,claude-opus-4.1,be-transparent-and-honest-093,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-094,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-095,Anthropic,
bad_persona,claude-opus-4.1,be-transparent-and-honest-096,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-097,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-098,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-099,Google,
bad_persona,claude-opus-4.1,be-transparent-and-honest-100,Anthropic,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-001,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-002,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-003,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-004,Anthropic,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-005,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-006,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-007,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-008,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-009,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-010,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-011,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-012,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-013,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-014,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-015,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-016,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-017,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-018,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-019,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-020,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-021,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-022,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-023,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-024,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-025,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-026,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-027,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-028,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-029,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-030,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-031,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-032,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-033,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-034,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-035,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-036,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-037,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-038,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-039,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-040,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-041,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-042,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-043,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-044,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-045,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-046,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-047,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-048,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-049,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-050,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-051,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-052,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-053,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-054,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-055,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-056,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-057,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-058,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-059,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-060,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-061,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-062,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-063,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-064,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-065,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-066,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-067,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-068,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-069,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-070,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-071,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-072,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-073,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-074,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-075,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-076,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-077,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-078,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-079,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-080,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-081,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-082,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-083,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-084,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-085,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-086,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-087,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-088,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-089,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-090,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-091,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-092,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-093,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-094,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-095,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-096,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-097,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-098,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-099,Google,
bad_persona,claude-opus-4.1,design-for-equity-and-inclusion-100,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-001,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-002,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-003,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-004,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-005,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-006,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-007,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-008,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-009,Anthropic,
bad_persona,claude-opus-4.1,enable-meaningful-choices-010,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-011,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-012,Anthropic,
bad_persona,claude-opus-4.1,enable-meaningful-choices-013,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-014,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-015,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-016,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-017,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-018,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-019,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-020,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-021,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-022,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-023,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-024,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-025,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-026,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-027,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-028,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-029,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-030,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-031,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-032,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-033,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-034,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-035,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-036,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-037,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-038,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-039,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-040,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-041,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-042,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-043,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-044,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-045,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-046,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-047,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-048,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-049,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-050,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-051,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-052,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-053,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-054,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-055,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-056,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-057,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-058,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-059,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-060,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-061,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-062,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-063,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-064,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-065,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-066,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-067,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-068,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-069,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-070,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-071,Amazon Bedrock,
bad_persona,claude-opus-4.1,enable-meaningful-choices-072,Amazon Bedrock,
bad_persona,claude-opus-4.1,enable-meaningful-choices-073,Amazon Bedrock,
bad_persona,claude-opus-4.1,enable-meaningful-choices-074,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-075,Amazon Bedrock,
bad_persona,claude-opus-4.1,enable-meaningful-choices-076,Amazon Bedrock,
bad_persona,claude-opus-4.1,enable-meaningful-choices-077,Amazon Bedrock,
bad_persona,claude-opus-4.1,enable-meaningful-choices-078,Amazon Bedrock,
bad_persona,claude-opus-4.1,enable-meaningful-choices-079,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-080,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-081,Amazon Bedrock,
bad_persona,claude-opus-4.1,enable-meaningful-choices-082,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-083,Amazon Bedrock,
bad_persona,claude-opus-4.1,enable-meaningful-choices-084,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-085,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-086,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-087,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-088,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-089,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-090,Amazon Bedrock,
bad_persona,claude-opus-4.1,enable-meaningful-choices-091,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-092,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-093,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-094,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-095,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-096,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-097,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-098,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-099,Google,
bad_persona,claude-opus-4.1,enable-meaningful-choices-100,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-001,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-002,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-003,Anthropic,
bad_persona,claude-opus-4.1,enhance-human-capabilities-004,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-005,Anthropic,
bad_persona,claude-opus-4.1,enhance-human-capabilities-006,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-007,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-008,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-009,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-010,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-011,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-012,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-013,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-014,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-015,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-016,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-017,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-018,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-019,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-020,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-021,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-022,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-023,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-024,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-025,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-026,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-027,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-028,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-029,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-030,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-031,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-032,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-033,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-034,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-035,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-036,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-037,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-038,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-039,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-040,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-041,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-042,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-043,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-044,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-045,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-046,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-047,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-048,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-049,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-050,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-051,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-052,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-053,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-054,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-055,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-056,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-057,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-058,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-059,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-060,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-061,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-062,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-063,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-064,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-065,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-066,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-067,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-068,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-069,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-070,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-071,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-072,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-073,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-074,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-075,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-076,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-077,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-078,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-079,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-080,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-081,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-082,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-083,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-084,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-085,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-086,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-087,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-088,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-089,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-090,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-091,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-092,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-093,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-094,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-095,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-096,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-097,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-098,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-099,Google,
bad_persona,claude-opus-4.1,enhance-human-capabilities-100,Google,
bad_persona,claude-opus-4.1,foster-healthy-relationships-001,Google,
bad_persona,claude-opus-4.1,foster-healthy-relationships-002,Google,
bad_persona,claude-opus-4.1,foster-healthy-relationships-003,Google,
bad_persona,claude-opus-4.1,foster-healthy-relationships-004,Google,
bad_persona,claude-opus-4.1,foster-healthy-relationships-005,Google,
bad_persona,claude-opus-4.1,foster-healthy-relationships-006,Google,
bad_persona,claude-opus-4.1,foster-healthy-relationships-007,Google,
bad_persona,claude-opus-4.1,foster-healthy-relationships-008,Google,
bad_persona,claude-opus-4.1,foster-healthy-relationships-009,Google,
bad_persona,claude-opus-4.1,foster-healthy-relationships-010,Anthropic,
