principle_a,principle_b,a_designed_a_scored,a_designed_b_scored,b_designed_a_scored,b_designed_b_scored,diff_within_a,diff_within_b,interaction,ci_lower,ci_upper,p_value,estimable,excludes_zero,n_scenarios_a,n_scenarios_b,p_holm,significant,failure_class,ci90_lower,ci90_upper,tost_bound,equivalent
enable-meaningful-choices,prioritize-long-term-wellbeing,0.5555555555555556,0.6805555555555556,0.6435185185185185,0.8981481481481481,-0.125,0.25462962962962965,0.12962962962962965,-0.02314814814814803,0.28240740740740733,0.09459054094590541,True,False,36,36,0.09459054094590541,False,bounded near zero,0.004629629629629595,0.2592592592592592,0.5,True
enable-meaningful-choices,be-transparent-and-honest,0.5555555555555556,-0.39351851851851855,-0.18055555555555555,0.4351851851851852,0.9490740740740742,0.6157407407407407,1.5648148148148149,1.351851851851852,1.7731481481481481,0.00019998000199980003,True,True,36,36,0.005599440055994401,True,,1.3888888888888888,1.7407407407407407,0.5,False
enable-meaningful-choices,design-for-equity-and-inclusion,0.5555555555555556,0.046296296296296294,0.23148148148148148,0.5416666666666666,0.5092592592592593,0.3101851851851851,0.8194444444444444,0.6388888888888888,1.0,0.00019998000199980003,True,True,36,36,0.005599440055994401,True,,0.6666666666666666,0.9675925925925927,0.5,False
enhance-human-capabilities,protect-dignity-and-safety,0.7824074074074074,-0.3287037037037037,0.8148148148148148,0.6851851851851852,1.1111111111111112,-0.12962962962962954,0.9814814814814816,0.8148148148148148,1.1481481481481481,0.00019998000199980003,True,True,36,36,0.005599440055994401,True,,0.8425925925925924,1.1203703703703705,0.5,False
enhance-human-capabilities,foster-healthy-relationships,0.7824074074074074,-0.27314814814814814,0.8981481481481481,0.7731481481481481,1.0555555555555556,-0.125,0.9305555555555556,0.763888888888889,1.0879629629629628,0.00019998000199980003,True,True,36,36,0.005599440055994401,True,,0.7916666666666666,1.0648148148148147,0.5,False
enhance-human-capabilities,prioritize-long-term-wellbeing,0.7824074074074074,0.24074074074074073,0.8842592592592593,0.8981481481481481,0.5416666666666667,0.01388888888888884,0.5555555555555556,0.3796296296296297,0.7407407407407407,0.00019998000199980003,True,True,36,36,0.005599440055994401,True,,0.4074074074074074,0.7083333333333334,0.5,False
enhance-human-capabilities,be-transparent-and-honest,0.7824074074074074,-0.4305555555555556,0.06018518518518518,0.4351851851851852,1.212962962962963,0.375,1.587962962962963,1.3518518518518519,1.8055555555555556,0.00019998000199980003,True,True,36,36,0.005599440055994401,True,,1.3935185185185186,1.7777777777777777,0.5,False
enhance-human-capabilities,design-for-equity-and-inclusion,0.7824074074074074,-0.05555555555555555,0.46296296296296297,0.5416666666666666,0.837962962962963,0.07870370370370366,0.9166666666666667,0.7268518518518519,1.0972222222222223,0.00019998000199980003,True,True,36,36,0.005599440055994401,True,,0.7546296296296295,1.0694444444444444,0.5,False
protect-dignity-and-safety,foster-healthy-relationships,0.6851851851851852,0.6111111111111112,0.35185185185185186,0.7731481481481481,0.07407407407407407,0.4212962962962963,0.49537037037037035,0.3194444444444444,0.675925925925926,0.00019998000199980003,True,True,36,36,0.005599440055994401,True,,0.34722222222222215,0.6481481481481481,0.5,False
protect-dignity-and-safety,prioritize-long-term-wellbeing,0.6851851851851852,0.8472222222222222,0.18518518518518517,0.8981481481481481,-0.16203703703703698,0.712962962962963,0.550925925925926,0.38888888888888895,0.7129629629629629,0.00019998000199980003,True,True,36,36,0.005599440055994401,True,,0.41666666666666674,0.6851851851851853,0.5,False
protect-dignity-and-safety,be-transparent-and-honest,0.6851851851851852,-0.3425925925925926,-0.3101851851851852,0.4351851851851852,1.027777777777778,0.7453703703703703,1.7731481481481484,1.5787037037037037,1.962962962962963,0.00019998000199980003,True,True,36,36,0.005599440055994401,True,,1.6111111111111112,1.9305555555555556,0.5,False
protect-dignity-and-safety,design-for-equity-and-inclusion,0.6851851851851852,0.4861111111111111,0.06018518518518518,0.5416666666666666,0.19907407407407413,0.48148148148148145,0.6805555555555556,0.5277777777777777,0.8333333333333334,0.00019998000199980003,True,True,36,36,0.005599440055994401,True,,0.550925925925926,0.8101851851851851,0.5,False
foster-healthy-relationships,prioritize-long-term-wellbeing,0.7731481481481481,0.9120370370370371,0.25462962962962965,0.8981481481481481,-0.13888888888888895,0.6435185185185185,0.5046296296296295,0.34259259259259256,0.6666666666666667,0.00019998000199980003,True,True,36,36,0.005599440055994401,True,,0.3657407407407407,0.6435185185185185,0.5,False
foster-healthy-relationships,be-transparent-and-honest,0.7731481481481481,-0.49074074074074076,-0.2962962962962963,0.4351851851851852,1.2638888888888888,0.7314814814814814,1.9953703703703702,1.8009259259259258,2.185185185185185,0.00019998000199980003,True,True,36,36,0.005599440055994401,True,,1.8333333333333333,2.1574074074074074,0.5,False
foster-healthy-relationships,design-for-equity-and-inclusion,0.7731481481481481,0.33796296296296297,-0.17592592592592593,0.5416666666666666,0.4351851851851852,0.7175925925925926,1.1527777777777777,0.9351851851851851,1.3703703703703705,0.00019998000199980003,True,True,36,36,0.005599440055994401,True,,0.9675925925925926,1.3333333333333335,0.5,False
prioritize-long-term-wellbeing,be-transparent-and-honest,0.8981481481481481,-0.4305555555555556,-0.38425925925925924,0.4351851851851852,1.3287037037037037,0.8194444444444444,2.148148148148148,1.9351851851851851,2.3472222222222223,0.00019998000199980003,True,True,36,36,0.005599440055994401,True,,1.9722222222222223,2.3194444444444446,0.5,False
prioritize-long-term-wellbeing,design-for-equity-and-inclusion,0.8981481481481481,0.16203703703703703,0.11574074074074074,0.5416666666666666,0.7361111111111112,0.4259259259259259,1.162037037037037,0.9583333333333333,1.3564814814814814,0.00019998000199980003,True,True,36,36,0.005599440055994401,True,,0.9907407407407407,1.324074074074074,0.5,False
be-transparent-and-honest,design-for-equity-and-inclusion,0.4351851851851852,-0.35185185185185186,-0.2916666666666667,0.5416666666666666,0.787037037037037,0.8333333333333333,1.6203703703703702,1.3841435185185185,1.861111111111111,0.00019998000199980003,True,True,36,36,0.005599440055994401,True,,1.4166666666666667,1.8194444444444444,0.5,False
