frame,condition,task_type,model,s_baseline,s_anchor_A,delta_A,delta_A_ci_lower,delta_A_ci_upper,s_condition,s_condition_ci_lower,s_condition_ci_upper,delta_condition,delta_condition_ci_lower,delta_condition_ci_upper,did_A_minus_condition,did_ci_lower,did_ci_upper,did_excludes_zero,flips_under_condition,flip_status_precommitted_indeterminate
788 scenarios,B,decomp_b_xml_objective,llama-4-maverick,0.5918683831441562,-0.13883271490414345,-0.7307010980482997,-0.7685836780534808,-0.6940789684886242,0.05184742836528549,0.019732077363773776,0.0848478599773242,-0.5400209547788708,-0.5777678957946816,-0.5011394243251293,-0.19068014326942895,-0.2319490141150441,-0.15045771168315816,True,False,True
200 scenarios (frozen subsample),B,decomp_b_xml_objective,claude-opus-4.1,0.6341666666666667,0.6508333333333334,0.01666666666666672,-0.06918750000000004,0.09999999999999998,0.5075694444444445,0.45244531250000003,0.5566675347222222,-0.12659722222222214,-0.17751909722222214,-0.07290624999999996,0.14326388888888886,0.061916666666666696,0.2190653409090909,True,False,False
200 scenarios (frozen subsample),C,decomp_c_prose,claude-opus-4.1,0.6341666666666667,0.6508333333333334,0.01666666666666672,-0.06918750000000004,0.09999999999999998,0.316875,0.26031226325757584,0.37168663194444446,-0.31729166666666664,-0.370046875,-0.25916666666666677,0.33395833333333336,0.2557708333333333,0.4114322916666665,True,False,False
200 scenarios (frozen subsample),D,decomp_d_okr,claude-opus-4.1,0.6341666666666667,0.6508333333333334,0.01666666666666672,-0.06918750000000004,0.09999999999999998,0.5816666666666667,0.5316666666666666,0.6316666666666667,-0.05249999999999999,-0.10250000000000004,0.0024999999999999493,0.06916666666666671,-0.005062500000000003,0.13752083333333337,False,False,False
200 scenarios (frozen subsample),E,decomp_e_abtest,claude-opus-4.1,0.6341666666666667,0.6508333333333334,0.01666666666666672,-0.06918750000000004,0.09999999999999998,0.565,0.5075,0.6158541666666668,-0.06916666666666671,-0.11502083333333343,-0.023312500000000003,0.08583333333333343,-0.002520833333333171,0.16920833333333332,False,False,False
200 scenarios (frozen subsample),B,decomp_b_xml_objective,claude-sonnet-4,0.6608333333333334,0.5246180555555555,-0.13621527777777787,-0.2109831604084321,-0.05164583333333343,0.42,0.3658125,0.47335416666666663,-0.2408333333333334,-0.2975,-0.1832916666666667,0.10461805555555553,0.03440364583333333,0.1840989583333334,True,False,False
200 scenarios (frozen subsample),C,decomp_c_prose,claude-sonnet-4,0.6608333333333334,0.5246180555555555,-0.13621527777777787,-0.2109831604084321,-0.05164583333333343,0.3258333333333333,0.26914583333333336,0.38252083333333337,-0.3350000000000001,-0.38999999999999996,-0.27331249999999985,0.1987847222222222,0.12277083333333337,0.27837150032938085,True,False,False
200 scenarios (frozen subsample),D,decomp_d_okr,claude-sonnet-4,0.6608333333333334,0.5246180555555555,-0.13621527777777787,-0.2109831604084321,-0.05164583333333343,0.26,0.20833333333333334,0.3091666666666666,-0.4008333333333334,-0.4541875000000001,-0.3416666666666667,0.2646180555555555,0.18942100694444441,0.34418206521739136,True,False,False
200 scenarios (frozen subsample),E,decomp_e_abtest,claude-sonnet-4,0.6608333333333334,0.5246180555555555,-0.13621527777777787,-0.2109831604084321,-0.05164583333333343,0.49083333333333334,0.4358125,0.5466875000000001,-0.17000000000000004,-0.2158541666666667,-0.12329166666666679,0.033784722222222174,-0.03799026268115937,0.10971739130434777,False,False,False
200 scenarios (frozen subsample),B,decomp_b_xml_objective,claude-sonnet-4.5,0.7308333333333333,0.745,0.01416666666666666,-0.04916666666666658,0.07418750000000003,0.5233333333333333,0.46247916666666666,0.5783541666666667,-0.20750000000000002,-0.26918749999999997,-0.14666666666666672,0.22166666666666668,0.15999999999999992,0.2866666666666666,True,False,False
200 scenarios (frozen subsample),C,decomp_c_prose,claude-sonnet-4.5,0.7308333333333333,0.745,0.01416666666666666,-0.04916666666666658,0.07418750000000003,0.6308333333333334,0.5775,0.6816666666666666,-0.09999999999999998,-0.16416666666666657,-0.03497916666666672,0.11416666666666664,0.04833333333333334,0.1841874999999999,True,False,False
200 scenarios (frozen subsample),D,decomp_d_okr,claude-sonnet-4.5,0.7308333333333333,0.745,0.01416666666666666,-0.04916666666666658,0.07418750000000003,0.5466666666666666,0.486625,0.6058541666666668,-0.1841666666666667,-0.25083333333333335,-0.12077083333333329,0.19833333333333336,0.12666666666666682,0.26502083333333337,True,False,False
200 scenarios (frozen subsample),E,decomp_e_abtest,claude-sonnet-4.5,0.7308333333333333,0.745,0.01416666666666666,-0.04916666666666658,0.07418750000000003,0.6161111111111112,0.558322463768116,0.6659611639492754,-0.11472222222222217,-0.16933175505050516,-0.06249456521739131,0.12888888888888883,0.05722135416666662,0.19416927083333327,True,False,False
200 scenarios (frozen subsample),B,decomp_b_xml_objective,deepseek-v3.1-terminus,0.7258333333333333,-0.39,-1.1158333333333332,-1.1841666666666666,-1.0474375,0.505,0.45166666666666666,0.5525208333333333,-0.22083333333333333,-0.2791666666666667,-0.1658333333333334,-0.895,-0.96,-0.8199791666666667,True,False,False
200 scenarios (frozen subsample),C,decomp_c_prose,deepseek-v3.1-terminus,0.7258333333333333,-0.39,-1.1158333333333332,-1.1841666666666666,-1.0474375,0.28833333333333333,0.22664583333333327,0.3491875,-0.4375,-0.5008541666666667,-0.3732916666666667,-0.6783333333333333,-0.7500208333333334,-0.6066666666666667,True,False,False
200 scenarios (frozen subsample),D,decomp_d_okr,deepseek-v3.1-terminus,0.7258333333333333,-0.39,-1.1158333333333332,-1.1841666666666666,-1.0474375,0.24333333333333335,0.1766666666666667,0.3142083333333333,-0.4825,-0.5483333333333332,-0.41750000000000004,-0.6333333333333333,-0.7100208333333334,-0.5549999999999999,True,False,False
200 scenarios (frozen subsample),E,decomp_e_abtest,deepseek-v3.1-terminus,0.7258333333333333,-0.39,-1.1158333333333332,-1.1841666666666666,-1.0474375,0.4591666666666667,0.39583333333333337,0.5183541666666667,-0.2666666666666666,-0.3291666666666667,-0.20829166666666662,-0.8491666666666667,-0.9191875,-0.7749999999999999,True,False,False
200 scenarios (frozen subsample),B,decomp_b_xml_objective,gemini-2.5-flash,0.6950000000000001,-0.6841666666666666,-1.3791666666666667,-1.4358541666666667,-1.3166666666666667,0.28500000000000003,0.2258333333333334,0.3466666666666667,-0.41000000000000003,-0.4841666666666666,-0.33999999999999997,-0.9691666666666666,-1.035,-0.905,True,False,False
200 scenarios (frozen subsample),C,decomp_c_prose,gemini-2.5-flash,0.6950000000000001,-0.6841666666666666,-1.3791666666666667,-1.4358541666666667,-1.3166666666666667,0.15000000000000002,0.08250000000000002,0.22416666666666668,-0.545,-0.6166875,-0.4749375000000001,-0.8341666666666666,-0.9075208333333333,-0.7658333333333333,True,False,False
200 scenarios (frozen subsample),D,decomp_d_okr,gemini-2.5-flash,0.6950000000000001,-0.6841666666666666,-1.3791666666666667,-1.4358541666666667,-1.3166666666666667,0.07499999999999998,0.010812500000000008,0.13583333333333333,-0.6200000000000001,-0.6875,-0.5583333333333333,-0.7591666666666665,-0.8199999999999998,-0.6991458333333332,True,False,False
200 scenarios (frozen subsample),E,decomp_e_abtest,gemini-2.5-flash,0.6950000000000001,-0.6841666666666666,-1.3791666666666667,-1.4358541666666667,-1.3166666666666667,0.4858333333333334,0.4325,0.5416875000000001,-0.20916666666666667,-0.26583333333333325,-0.15499999999999997,-1.17,-1.228333333333333,-1.1083125,True,False,False
200 scenarios (frozen subsample),B,decomp_b_xml_objective,gemini-2.5-pro,0.7475,-0.715,-1.4625,-1.5183333333333333,-1.4066458333333332,0.08916666666666667,0.026645833333333327,0.14666666666666667,-0.6583333333333334,-0.730875,-0.5866666666666667,-0.8041666666666667,-0.8641875000000001,-0.7383124999999999,True,False,False
200 scenarios (frozen subsample),C,decomp_c_prose,gemini-2.5-pro,0.7475,-0.715,-1.4625,-1.5183333333333333,-1.4066458333333332,0.10833333333333332,0.050833333333333314,0.16749999999999998,-0.6391666666666668,-0.7008333333333333,-0.5758333333333334,-0.8233333333333333,-0.8875208333333335,-0.7625000000000001,True,False,False
200 scenarios (frozen subsample),D,decomp_d_okr,gemini-2.5-pro,0.7475,-0.715,-1.4625,-1.5183333333333333,-1.4066458333333332,0.17250000000000001,0.1150078639657444,0.2275,-0.5750000000000001,-0.6387699652777777,-0.5093747358091787,-0.8875,-0.9466823671497584,-0.8277742300724638,True,False,False
200 scenarios (frozen subsample),E,decomp_e_abtest,gemini-2.5-pro,0.7475,-0.715,-1.4625,-1.5183333333333333,-1.4066458333333332,0.2833333333333333,0.2275,0.3391875,-0.4641666666666667,-0.5291666666666666,-0.4033125000000001,-0.9983333333333333,-1.0625,-0.9366666666666668,True,False,False
200 scenarios (frozen subsample),B,decomp_b_xml_objective,gpt-4.1,0.6225,-0.6208333333333333,-1.2433333333333334,-1.3075,-1.18,0.3416666666666667,0.28581249999999997,0.3958333333333333,-0.2808333333333334,-0.34250000000000014,-0.22583333333333333,-0.9625,-1.0233333333333332,-0.9016458333333331,True,False,False
200 scenarios (frozen subsample),C,decomp_c_prose,gpt-4.1,0.6225,-0.6208333333333333,-1.2433333333333334,-1.3075,-1.18,0.3441666666666666,0.2932916666666667,0.3941875,-0.27833333333333343,-0.335,-0.22416666666666663,-0.965,-1.0250208333333333,-0.9066666666666667,True,False,False
200 scenarios (frozen subsample),D,decomp_d_okr,gpt-4.1,0.6225,-0.6208333333333333,-1.2433333333333334,-1.3075,-1.18,0.3139583333333334,0.2589921875,0.3683333333333333,-0.30854166666666666,-0.3666666666666667,-0.2438691946640317,-0.9347916666666667,-0.9925457427536231,-0.8776413043478262,True,False,False
200 scenarios (frozen subsample),E,decomp_e_abtest,gpt-4.1,0.6225,-0.6208333333333333,-1.2433333333333334,-1.3075,-1.18,0.5383333333333333,0.4908333333333334,0.5833541666666668,-0.08416666666666672,-0.13335416666666675,-0.04164583333333321,-1.1591666666666667,-1.2158541666666667,-1.1025,True,False,False
200 scenarios (frozen subsample),B,decomp_b_xml_objective,gpt-4o-2024-11-20,0.6530208333333334,-0.6433333333333333,-1.2963541666666667,-1.3563559027777776,-1.2391666666666667,0.26298611111111114,0.2082786458333333,0.31156068840579715,-0.39003472222222224,-0.454900173611111,-0.3341521739130434,-0.9063194444444445,-0.959183712121212,-0.8475353260869566,True,False,False
200 scenarios (frozen subsample),C,decomp_c_prose,gpt-4o-2024-11-20,0.6530208333333334,-0.6433333333333333,-1.2963541666666667,-1.3563559027777776,-1.2391666666666667,0.24868055555555557,0.19331944444444446,0.30002083333333335,-0.4043402777777778,-0.47005061141304344,-0.34829687499999995,-0.8920138888888889,-0.9491666666666666,-0.8333599411231885,True,False,False
200 scenarios (frozen subsample),D,decomp_d_okr,gpt-4o-2024-11-20,0.6530208333333334,-0.6433333333333333,-1.2963541666666667,-1.3563559027777776,-1.2391666666666667,0.19083333333333335,0.13164583333333332,0.24668749999999992,-0.46218750000000003,-0.534908401268116,-0.39844017964975853,-0.8341666666666667,-0.8950208333333334,-0.775,True,False,False
200 scenarios (frozen subsample),E,decomp_e_abtest,gpt-4o-2024-11-20,0.6530208333333334,-0.6433333333333333,-1.2963541666666667,-1.3563559027777776,-1.2391666666666667,0.4875,0.4383125,0.5324999999999999,-0.1655208333333334,-0.22063700181159424,-0.11295923913043476,-1.1308333333333334,-1.1808333333333332,-1.0766666666666667,True,False,False
200 scenarios (frozen subsample),B,decomp_b_xml_objective,gpt-5,0.8633333333333333,0.8425,-0.02083333333333326,-0.05999999999999994,0.01585416666666668,0.745,0.7025,0.7866666666666666,-0.11833333333333329,-0.15166666666666662,-0.08497916666666665,0.09750000000000003,0.05416666666666681,0.13752083333333337,True,False,False
200 scenarios (frozen subsample),C,decomp_c_prose,gpt-5,0.8633333333333333,0.8425,-0.02083333333333326,-0.05999999999999994,0.01585416666666668,0.7708333333333334,0.7324791666666666,0.8050208333333333,-0.09249999999999992,-0.12333333333333318,-0.06250000000000011,0.07166666666666666,0.034125000000000016,0.10999999999999999,True,False,False
200 scenarios (frozen subsample),D,decomp_d_okr,gpt-5,0.8633333333333333,0.8425,-0.02083333333333326,-0.05999999999999994,0.01585416666666668,0.7525,0.7116666666666667,0.79,-0.11083333333333334,-0.14416666666666667,-0.07500000000000007,0.09000000000000008,0.05249999999999999,0.12916666666666665,True,False,False
200 scenarios (frozen subsample),E,decomp_e_abtest,gpt-5,0.8633333333333333,0.8425,-0.02083333333333326,-0.05999999999999994,0.01585416666666668,0.8108333333333333,0.7716666666666667,0.845,-0.05249999999999999,-0.08252083333333346,-0.024166666666666666,0.03166666666666673,-0.00666666666666671,0.06918750000000014,False,False,False
200 scenarios (frozen subsample),B,decomp_b_xml_objective,gpt-5.1,0.8441666666666667,0.8291666666666667,-0.015000000000000013,-0.04833333333333334,0.01666666666666672,0.8016666666666667,0.7666041666666666,0.8366666666666667,-0.04249999999999998,-0.0700208333333334,-0.013333333333333308,0.02749999999999997,-0.004999999999999896,0.05835416666666666,False,False,False
200 scenarios (frozen subsample),C,decomp_c_prose,gpt-5.1,0.8441666666666667,0.8291666666666667,-0.015000000000000013,-0.04833333333333334,0.01666666666666672,0.7749305555555557,0.7365026041666667,0.8081063076416337,-0.06923611111111105,-0.09918750000000007,-0.03757246376811596,0.05423611111111104,0.027644776570048248,0.08333333333333337,True,False,False
200 scenarios (frozen subsample),D,decomp_d_okr,gpt-5.1,0.8441666666666667,0.8291666666666667,-0.015000000000000013,-0.04833333333333334,0.01666666666666672,0.785,0.7433124999999999,0.8241666666666666,-0.0591666666666667,-0.08752083333333346,-0.029999999999999916,0.04416666666666669,0.012479166666666737,0.07499999999999996,True,False,False
200 scenarios (frozen subsample),E,decomp_e_abtest,gpt-5.1,0.8441666666666667,0.8291666666666667,-0.015000000000000013,-0.04833333333333334,0.01666666666666672,0.8083333333333333,0.7641666666666667,0.8483333333333333,-0.035833333333333384,-0.0666875000000001,-0.005833333333333357,0.02083333333333337,-0.00418750000000009,0.046666666666666634,False,False,False
200 scenarios (frozen subsample),B,decomp_b_xml_objective,llama-4-maverick,0.5435416666666666,-0.17583333333333334,-0.7193749999999999,-0.7875755546536796,-0.648580615942029,0.004756944444444432,-0.06516213768115943,0.07290942028985507,-0.5387847222222222,-0.6201883680555556,-0.46050781249999995,-0.18059027777777778,-0.2633867753623188,-0.10590104166666671,True,False,True
200 scenarios (frozen subsample),C,decomp_c_prose,llama-4-maverick,0.5435416666666666,-0.17583333333333334,-0.7193749999999999,-0.7875755546536796,-0.648580615942029,0.29500000000000004,0.23750000000000004,0.3491666666666666,-0.24854166666666655,-0.30800662662090006,-0.19153634510869566,-0.4708333333333334,-0.5366875000000001,-0.39912500000000006,True,False,True
200 scenarios (frozen subsample),D,decomp_d_okr,llama-4-maverick,0.5435416666666666,-0.17583333333333334,-0.7193749999999999,-0.7875755546536796,-0.648580615942029,0.24333333333333335,0.18997916666666667,0.3017083333333333,-0.30020833333333324,-0.36736631944444437,-0.23348913043478256,-0.4191666666666667,-0.4867083333333333,-0.3541666666666667,True,False,True
200 scenarios (frozen subsample),E,decomp_e_abtest,llama-4-maverick,0.5435416666666666,-0.17583333333333334,-0.7193749999999999,-0.7875755546536796,-0.648580615942029,0.4675,0.4183125,0.5175416666666666,-0.07604166666666656,-0.1310571946169772,-0.01886372066942726,-0.6433333333333333,-0.7158541666666667,-0.5725,True,False,True
